CustomerID,Description,recommendations
17850.0,WHITE HANGING HEART T-LIGHT HOLDER,"['RED HANGING HEART T-LIGHT HOLDER', 'FAMILY ALBUM WHITE PICTURE FRAME', 'WOOD BLACK BOARD ANT WHITE FINISH']"
13047.0,ASSORTED COLOUR BIRD ORNAMENT,"['DOORMAT FANCY FONT HOME SWEET HOME', 'DOORMAT KEEP CALM AND COME IN', 'HAND OVER THE CHOCOLATE   SIGN ']"
12583.0,ALARM CLOCK BAKELIKE PINK,"['LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG DOLLY GIRL DESIGN', 'DOLLY GIRL LUNCH BOX']"
13748.0,PAPER CHAIN KIT 50'S CHRISTMAS ,"['PAPER CHAIN KIT VINTAGE CHRISTMAS', '12 COLOURED PARTY BALLOONS', 'PINK HAPPY BIRTHDAY BUNTING']"
15100.0,VICTORIAN SEWING BOX LARGE,"['WOOD BLACK BOARD ANT WHITE FINISH', 'ENAMEL BREAD BIN CREAM', 'RED DINER WALL CLOCK']"
15291.0,HOT WATER BOTTLE TEA AND SYMPATHY,"['RED TOADSTOOL LED NIGHT LIGHT', 'RED SPOT CERAMIC DRAWER KNOB', 'BULL DOG BOTTLE OPENER']"
14688.0,JUMBO BAG PINK POLKADOT,"['LUNCH BAG DOLLY GIRL DESIGN', 'JUMBO BAG VINTAGE DOILY ', 'CHILDRENS CUTLERY POLKADOT PINK']"
17809.0,JAM MAKING SET PRINTED,"['POSTAGE', ""PAPER CHAIN KIT 50'S CHRISTMAS "", 'HEART WREATH DECORATION WITH BELL']"
15311.0,RETROSPOT TEA SET CERAMIC 11 PC ,"['JUMBO BAG VINTAGE LEAF', 'JUMBO BAG PEARS', 'PARTY BUNTING']"
16098.0,INFLATABLE POLITICAL GLOBE ,"['VINTAGE HEADS AND TAILS CARD GAME ', 'CHOCOLATE BOX RIBBONS ', 'PICTURE DOMINOES']"
18074.0,WOOD BLACK BOARD ANT WHITE FINISH,"['AREA PATROLLED METAL SIGN', 'FRENCH BLUE METAL DOOR SIGN 1', 'NATURAL SLATE CHALKBOARD LARGE ']"
17420.0,SET 3 WICKER OVAL BASKETS W LIDS,"['JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI', 'JUMBO SHOPPER VINTAGE RED PAISLEY']"
16029.0,WHITE WIRE EGG HOLDER,"['PINK PARTY BAGS', 'BLUE PARTY BAGS ', 'WOODEN HAPPY BIRTHDAY GARLAND']"
16250.0,HOME BUILDING BLOCK WORD,"['NATURAL SLATE HEART CHALKBOARD ', 'WOOD BLACK BOARD ANT WHITE FINISH', 'HEART OF WICKER LARGE']"
12431.0,CHRISTMAS LIGHTS 10 REINDEER,"['RED RETROSPOT MINI CASES', 'WOODEN OWLS LIGHT GARLAND ', 'CHILDRENS CUTLERY DOLLY GIRL ']"
17511.0,CHRISTMAS LIGHTS 10 REINDEER,"['JUMBO BAG ALPHABET', 'VICTORIAN GLASS HANGING T-LIGHT', 'RECYCLING BAG RETROSPOT ']"
13705.0,3 STRIPEY MICE FELTCRAFT,"['SET OF 3 REGENCY CAKE TINS', 'FIRST AID TIN', 'SET OF 6 SPICE TINS PANTRY DESIGN']"
13747.0,RETROSPOT LAMP,"['RED KITCHEN SCALES', 'WHITE HANGING HEART T-LIGHT HOLDER', 'IVORY KITCHEN SCALES']"
13408.0,"FANCY FONT BIRTHDAY CARD, ","['WOOD S/3 CABINET ANT WHITE FINISH', 'WOOD BLACK BOARD ANT WHITE FINISH', 'VICTORIAN GLASS HANGING T-LIGHT']"
13767.0,BLACK HEART CARD HOLDER,"['PENNY FARTHING BIRTHDAY CARD', 'GIN & TONIC DIET GREETING CARD ', 'DOUGHNUT LIP GLOSS ']"
17924.0,SET OF 3 BLACK FLYING DUCKS,"['FULL ENGLISH BREAKFAST PLATE', 'PINK DOUGHNUT TRINKET POT ', 'POSTAGE']"
13448.0,PACK OF 12 RED RETROSPOT TISSUES ,"['WOODEN FRAME ANTIQUE WHITE ', 'SET OF 4 NAPKIN CHARMS HEARTS', 'WOODEN PICTURE FRAME WHITE FINISH']"
15862.0,BIRD HOUSE HOT WATER BOTTLE,"['PINK PAISLEY SQUARE TISSUE BOX ', 'CHILDRENS CUTLERY POLKADOT PINK', '12 PENCILS SMALL TUBE SKULL']"
15513.0,PAPER CHAIN KIT 50'S CHRISTMAS ,"['WOODEN FRAME ANTIQUE WHITE ', 'VICTORIAN GLASS HANGING T-LIGHT', 'SPACEBOY LUNCH BOX ']"
12791.0,HAND WARMER BIRD DESIGN,"['Manual', 'CHOCOLATE HOT WATER BOTTLE', 'ASSTD DESIGN 3D PAPER STICKERS']"
16218.0,HEART IVORY TRELLIS SMALL,"['LUNCH BAG WOODLAND', 'LUNCH BAG VINTAGE LEAF DESIGN', 'LUNCH BAG SPACEBOY DESIGN ']"
14045.0,SET/5 RED RETROSPOT LID GLASS BOWLS,"['ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE GREEN']"
14307.0,MAGIC DRAWING SLATE DINOSAUR,"['DOORMAT SPOTTY HOME SWEET HOME', 'VINTAGE HEADS AND TAILS CARD GAME ', 'CLASSIC METAL BIRDCAGE PLANT HOLDER']"
17908.0,5 STRAND GLASS NECKLACE CRYSTAL,"['3 TIER CAKE TIN RED AND CREAM', 'SET OF 3 HANGING OWLS OLLIE BEAK', 'SET OF 10 LED DOLLY LIGHTS']"
17920.0,LUNCH BAG CARS BLUE,"['BLUE POLKADOT CUP', 'PINK  POLKADOT CUP', 'RED RETROSPOT CUP']"
12838.0,60 CAKE CASES VINTAGE CHRISTMAS,"['SOLDIERS EGG CUP ', 'LONDON BUS COFFEE MUG', 'TOTE BAG I LOVE LONDON']"
13255.0,ROTATING LEAVES T-LIGHT HOLDER,"['TRADITIONAL WOODEN SKIPPING ROPE', 'GARDENERS KNEELING PAD KEEP CALM ', 'WORLD WAR 2 GLIDERS ASSTD DESIGNS']"
16583.0,WOODEN BOX OF DOMINOES,"['SET OF 6 SPICE TINS PANTRY DESIGN', 'PAPER CHAIN KIT EMPIRE', 'TRADITIONAL KNITTING NANCY']"
18085.0,SET OF 6 SOLDIER SKITTLES,"['CHICK GREY HOT WATER BOTTLE', 'HOT WATER BOTTLE KEEP CALM', 'HOT WATER BOTTLE TEA AND SYMPATHY']"
13758.0,HOT WATER BOTTLE BABUSHKA ,"['RED RETROSPOT BOWL', 'PINK  POLKADOT CUP', 'BLUE POLKADOT CUP']"
